Symbol,Nazwa,Kurs,Zmiana%,Zmiana,Wolumen,Data
TENX.US,TENAX THERAPEUTICS,0.62,+297.44%,0.464,315000000.0,13 lis
TSLA.US,TESLA,223.71,+4.22%,9.06,140000000.0,13 lis
LQR.US,LQR HOUSE,0.065,-27.78%,-0.025,92300000.0,13 lis
PLUG.US,PLUG POWER,3.47,-1.70%,-0.06,84100000.0,13 lis
ACRS.US,ACLARIS THERAPEUTICS,0.6449,-86.44%,-4.1101,82400000.0,13 lis
MCOM.US,MICROMOBILITY.COM,0.0258,-19.38%,-0.0062,82000000.0,13 lis
MULN.US,MULLEN AUTOMOTIVE,0.1868,-4.60%,-0.009,76200000.0,13 lis
BETS.US,BIT BROTHER,0.0296,+9.63%,0.0026,75000000.0,13 lis
TIVC.US,TIVIC HEALTH SYSTEMS,2.14,+79.83%,0.95,49700000.0,13 lis
AMD.US,ADVANCED MICRO DEVICES,116.79,-1.52%,-1.8,46700000.0,13 lis
ZVSA.US,ZyVersa Therapeutics,0.093,+40.27%,0.0267,43700000.0,13 lis
AAPL.US,APPLE,184.8,-0.86%,-1.6,43600000.0,13 lis
NVDA.US,NVIDIA,486.2,+0.59%,2.85,38400000.0,13 lis
RIVN.US,RIVIAN AUTOMOTIVE,16.19,+5.13%,0.79,38000000.0,13 lis
NKLA.US,NIKOLA,1.01,+4.59%,0.0443,37400000.0,13 lis
AMZN.US,AMAZON.COM,142.59,-0.68%,-0.97,35700000.0,13 lis
SOFI.US,SOFI TECHNOLOGIES,7.04,+1.44%,0.1,34000000.0,13 lis
MARA.US,MARATHON DIGITAL HOLDINGS,9.18,-4.47%,-0.43,31300000.0,13 lis
NXU.US,NXU,0.0284,+1.07%,0.0003,29200000.0,13 lis
LCID.US,LUCID GROUP,3.97,+4.47%,0.17,28500000.0,13 lis
GOEV.US,CANOO,0.2527,+3.14%,0.0077,26800000.0,13 lis
INTC.US,INTEL,38.23,-1.62%,-0.63,24600000.0,13 lis
GRAB.US,GRAB HOLDINGS,3.33,+1.83%,0.06,22300000.0,13 lis
INVO.US,INVO BIOSCIENCE,1.61,+22.90%,0.3,21900000.0,13 lis
BSFC.US,Blue Star Foods Corp,0.163,+12.69%,0.01836,21500000.0,13 lis
LYFT.US,LYFT,9.77,-4.78%,-0.49,20500000.0,13 lis
AAL.US,AMERICAN AIRLINES GROUP,11.78,-0.17%,-0.02,20100000.0,13 lis
STNE.US,STONECO,12.1,+12.87%,1.38,20100000.0,13 lis
MSFT.US,MICROSOFT,366.68,-0.81%,-2.99,20000000.0,13 lis
LIFW.US,MSP RECOVERY,6.43,+21.09%,1.12,19300000.0,13 lis
TSLL.US,DIREXION DAILY TSLA BULL 1.5X SHARES,12.79,+6.32%,0.76,19300000.0,13 lis
WBD.US,WARNER BROS DISCOVERY,9.89,-2.37%,-0.24,18600000.0,13 lis
CLSK.US,CLEANSPARK,3.81,+1.87%,0.07,18400000.0,13 lis
GOOGL.US,ALPHABET,132.09,-0.38%,-0.5,18300000.0,13 lis
RIOT.US,RIOT PLATFORMS,9.79,-5.50%,-0.57,18100000.0,13 lis
CGC.US,CANOPY GROWTH,0.5426,+4.15%,0.0216,17700000.0,13 lis
META.US,Meta Platforms,329.19,+0.13%,0.42,16900000.0,13 lis
GOOG.US,ALPHABET,133.64,-0.31%,-0.42,16399999.999999998,13 lis
SNES.US,SENESTECH,0.2104,-11.78%,-0.0281,14900000.0,13 lis
CSCO.US,CISCO SYSTEMS,52.23,-0.68%,-0.36,14900000.0,13 lis
TWOU.US,2U,0.9401,-8.73%,-0.0899,14800000.0,13 lis
JBLU.US,JETBLUE AIRWAYS,3.97,+2.58%,0.1,14400000.0,13 lis
JD.US,JD.COM,25.75,-0.04%,-0.01,14200000.0,13 lis
CMCSA.US,COMCAST,41.49,-1.00%,-0.42,14100000.0,13 lis
VERV.US,VERVE THERAPEUTICS,9.29,-40.83%,-6.41,13900000.0,13 lis
DKNG.US,DRAFTKINGS,35.58,+1.57%,0.55,13400000.0,13 lis
ATRA.US,ATARA BIOTHERAPEUTICS,0.2571,+11.88%,0.0273,12700000.0,13 lis
AVTX.US,AVALO THERAPEUTICS,0.091,+0.66%,0.0006,12200000.0,13 lis
OPEN.US,OPENDOOR TECHNOLOGIES,2.03,-2.40%,-0.05,11900000.0,13 lis
PYPL.US,PAYPAL HOLDINGS,54.39,-0.69%,-0.38,11900000.0,13 lis
NIR.US,Near Intelligence,0.215,+13.16%,0.025,11700000.0,13 lis
AGEN.US,AGENUS,0.628,-3.40%,-0.0221,11600000.0,13 lis
TTD.US,TRADE DESK,63.46,-0.86%,-0.55,11500000.0,13 lis
SOUN.US,SOUNDHOUND AI,1.99,+11.17%,0.2,11300000.0,13 lis
BITF.US,BITFARMS LTD/CANADA,1.12,-6.67%,-0.08,10500000.0,13 lis
AFRM.US,AFFIRM HOLDINGS,22.88,+2.01%,0.45,10300000.0,13 lis
AUVI.US,APPLIED UV,0.2699,+19.90%,0.0448,10300000.0,13 lis
CSX.US,CSX Corp,30.45,-0.81%,-0.25,10200000.0,13 lis
HUT.US,HUT 8 MINING,2.03,-6.45%,-0.14,9890000.0,13 lis
RUN.US,SUNRUN,9.23,-2.22%,-0.21,9660000.0,13 lis
VTRS.US,VIATRIS,8.95,-2.72%,-0.25,9630000.0,13 lis
WBA.US,WALGREENS BOOTS ALLIANCE,20.17,-2.84%,-0.59,9620000.0,13 lis
SKIN.US,BEAUTY HEALTH,3.9,+8.33%,0.3,9610000.0,13 lis
AGNC.US,AGNC INVESTMENT,8.44,+0.48%,0.04,9380000.0,13 lis
FCEL.US,FUELCELL ENERGY,1.05,+1.94%,0.02,9360000.0,13 lis
DISH.US,DISH NETWORK,3.33,-3.20%,-0.11,9200000.0,13 lis
APLD.US,APPLIED DIGITAL,3.94,-15.99%,-0.75,9200000.0,13 lis
MU.US,MICRON TECHNOLOGY,74.78,-0.77%,-0.58,9120000.0,13 lis
COIN.US,COINBASE GLOBAL,92.64,-0.30%,-0.28,8860000.0,13 lis
CDIO.US,CARDIO DIAGNOSTICS HOLDINGS,1.12,+9.80%,0.1,8860000.0,13 lis
ERIC.US,TELEFONAKTIEBOLAGET LM ERICSSON,4.58,-0.87%,-0.04,8800000.0,13 lis
HBAN.US,HUNTINGTON BANCSHARES INC/OH,10.23,-0.39%,-0.04,8710000.0,13 lis
VOD.US,VODAFONE GROUP,9.52,+0.42%,0.04,8560000.0,13 lis
MTCH.US,MATCH GROUP,29.12,-1.95%,-0.58,8369999.999999999,13 lis
RILY.US,B RILEY FINANCIAL,22.01,-14.02%,-3.59,8260000.0,13 lis
PARA.US,PARAMOUNT GLOBAL,12.0,-0.83%,-0.1,8210000.000000001,13 lis
